OBJECT TEFF E_TEFF LOGG E_LOGG FEH E_FEH LI1 E_LI1 "AGE (Gyr)" GES_FLD MEM3D
07542366-6059134 4920 66 4.67 0.17 0 0.05 1.96 0.09 0.24 NGC2516 0.9999
07542722-6057451 5580 66 4.52 0.18 0 0.05 2.92 0.07 0.24 NGC2516 0.9999
07551844-6057440 6230 65 4.29 0.17 -0.07 0.06 2.88 0.05 0.24 NGC2516 1
07552206-6105203 4945 64 4.73 0.18 0.05 0.05 1.79 0.09 0.24 NGC2516 0.9999
07553120-6056508 6546 64 4.16 0.17 0.01 0.05 2.58 0.05 0.24 NGC2516 1
07553731-6109067 6286 66 4.25 0.17 0 0.05 3.19 0.05 0.24 NGC2516 0.9998
07554040-6104238 5333 65 4.45 0.17 -0.14 0.05 2.57 0.07 0.24 NGC2516 0.9995
07542455-6019566 4401 74 4.69 0.17 0.05 0.1 0.33 0.19 0.24 NGC2516 1
07543442-6035456 4653 66 4.79 0.18 0.04 0.05 1.12 0.11 0.24 NGC2516 1
07545163-6025304 4134 77 4.64 0.18 0.07 0.09 0.06 0.23 0.24 NGC2516 1
07550144-6027506 3990 75 4.71 0.18 -0.06 0.09 0.46 0.15 0.24 NGC2516 0.9617
07550360-6028452 4316 74 4.68 0.18 0.06 0.09 0.42 0.14 0.24 NGC2516 0.9998
07550511-6034396 4320 75 4.71 0.18 0.06 0.09 0.22 0.17 0.24 NGC2516 1
07551125-6026336 4094 77 4.81 0.18 0.04 0.09 0.74 0.1 0.24 NGC2516 1
07551340-6041130 3303 107 4.87 0.24 -0.33 0.09 -1 0.0 0.24 NGC2516 0.9999
07552105-6034021 3437 109 4.85 0.24 -0.27 0.09 -0.32 0.4 0.24 NGC2516 0.9998
07552745-6033307 3879 74 4.78 0.18 -0.06 0.09 0.31 0.18 0.24 NGC2516 1
07552858-6024560 4113 76 4.71 0.18 0.03 0.09 0.39 0.13 0.24 NGC2516 0.9943
07553173-6034206 3847 109 4.84 0.23 -0.05 0.09 0.63 0.2 0.24 NGC2516 0.9998
07553274-6037074 4027 78 4.75 0.18 0.06 0.09 0.57 0.0 0.24 NGC2516 0.9998
07553943-6031203 3831 111 4.81 0.24 -0.24 0.09 0.82 0.15 0.24 NGC2516 0.9998
07555086-6026294 3961 76 4.88 0.18 0 0.09 0.57 0.14 0.24 NGC2516 0.9994
07555287-6024532 4461 76 4.58 0.18 0.05 0.09 0.59 0.14 0.24 NGC2516 1
07560174-6037388 3774 106 4.87 0.24 -0.19 0.09 0.08 0.33 0.24 NGC2516 1
07560698-6031438 4705 64 4.64 0.18 0.03 0.05 0.74 0.14 0.24 NGC2516 0.9999
07561491-6038481 3304 106 4.87 0.23 -0.35 0.09 -1 0.0 0.24 NGC2516 0.9998
07561522-6038219 4196 109 4.87 0.24 0.04 0.09 1.09 0.13 0.24 NGC2516 0.9941
07562640-6021143 3855 107 4.87 0.23 -0.35 0.09 0.52 0.23 0.24 NGC2516 1
07564607-6024132 3984 76 4.57 0.18 -0.06 0.1 0.65 0.12 0.24 NGC2516 0.9999
07544421-6049473 3841 79 4.73 0.18 -0.07 0.1 0.34 0.2 0.24 NGC2516 0.9999
07551059-6043092 4476 75 4.86 0.18 0.03 0.09 0.42 0.15 0.24 NGC2516 0.9999
07551741-6038315 3997 77 4.75 0.18 0.06 0.09 1.04 0.12 0.24 NGC2516 0.9998
07551956-6044275 4522 75 4.78 0.18 0.04 0.1 0.33 0.17 0.24 NGC2516 1
07552751-6048332 3770 106 4.84 0.24 -0.27 0.09 0.44 0.24 0.24 NGC2516 0.9999
07552770-6048138 3966 76 4.81 0.18 -0.02 0.09 0.59 0.14 0.24 NGC2516 0.9999
07554488-6044129 3997 109 4.8 0.24 -0.05 0.09 0.52 0.0 0.24 NGC2516 0.9999
07555219-6054036 4005 77 4.9 0.18 0.06 0.1 1.03 0.12 0.24 NGC2516 0.9997
07555844-6056126 4536 64 4.69 0.17 0.07 0.05 0.29 0.17 0.24 NGC2516 0.9999
07555914-6050442 4533 75 4.72 0.18 0.01 0.09 1.82 0.1 0.24 NGC2516 0.9999
07560587-6055349 3671 104 4.87 0.23 -0.27 0.09 -0.15 0.42 0.24 NGC2516 0.9998
07560871-6045266 4275 73 4.76 0.19 0.05 0.1 0.01 0.23 0.24 NGC2516 0.9999
07560885-6049366 4046 76 4.77 0.18 -0.16 0.1 0.12 0.21 0.24 NGC2516 0.9992
07560924-6047360 3302 107 4.94 0.23 -0.4 0.09 -1 0.0 0.24 NGC2516 0.9998
07561050-6054150 4009 75 4.85 0.18 -0.02 0.09 0.6 0.14 0.24 NGC2516 0.9992
07561129-6050580 4453 74 4.35 0.18 -0.02 0.09 2.12 0.1 0.24 NGC2516 0.9999
07561423-6058156 4089 75 4.73 0.18 -0.01 0.09 0.01 0.28 0.24 NGC2516 0.9998
07561448-6054314 4037 76 4.73 0.18 0.05 0.09 0.16 0.0 0.24 NGC2516 0.9991
07561544-6053084 3882 76 4.8 0.17 -0.09 0.09 0.68 0.14 0.24 NGC2516 0.9999
07561556-6047204 4009 75 4.89 0.19 -0.03 0.1 0.22 0.2 0.24 NGC2516 0.999
07562958-6052125 3446 107 4.87 0.24 -0.3 0.09 -0.01 0.32 0.24 NGC2516 0.9997
07563027-6041370 3301 110 4.85 0.23 -0.35 0.09 -1 0.0 0.24 NGC2516 0.9999
07564709-6043225 4297 75 4.5 0.18 0.03 0.09 1.04 0.1 0.24 NGC2516 0.9999
07564817-6046311 4354 76 4.67 0.18 0.06 0.09 1.03 0.11 0.24 NGC2516 0.9988
07564825-6051086 3767 109 4.85 0.23 -0.18 0.09 0.06 0.35 0.24 NGC2516 0.9996
07565408-6050056 4692 65 4.69 0.18 -0.01 0.05 1.8 0.09 0.24 NGC2516 0.9999
07565554-6039300 3956 109 4.88 0.24 -0.01 0.09 0.57 0.0 0.24 NGC2516 0.9993
07565956-6049567 4187 78 4.49 0.18 0.08 0.09 0.82 0.09 0.24 NGC2516 1
07570128-6052061 4147 76 4.81 0.18 0.03 0.1 0.73 0.12 0.24 NGC2516 0.9999
07570134-6042136 4566 65 4.68 0.17 0.14 0.05 0.63 0.11 0.24 NGC2516 0.9999
07570251-6047567 4232 74 4.86 0.18 0.05 0.09 -0.19 0.42 0.24 NGC2516 1
07571082-6049067 3617 107 4.85 0.23 -0.22 0.09 -0.17 0.42 0.24 NGC2516 0.9999
07571300-6055159 3675 108 4.86 0.24 -0.27 0.09 0.37 0.26 0.24 NGC2516 0.9999
07571540-6038534 4590 75 4.59 0.19 -0.03 0.09 2.18 0.11 0.24 NGC2516 0.9999
07571593-6041269 4154 76 4.81 0.18 -0.02 0.09 0.11 0.27 0.24 NGC2516 0.9999
07572609-6045401 4415 79 4.58 0.18 0.05 0.09 1.06 0.12 0.24 NGC2516 0.9992
07573082-6047208 3974 75 4.75 0.17 -0.05 0.09 0.27 0.19 0.24 NGC2516 1
07573354-6050406 3724 105 4.89 0.23 0 0.09 0.95 0.21 0.24 NGC2516 0.9999
07573888-6043529 4712 64 4.6 0.17 0.05 0.05 1.25 0.1 0.24 NGC2516 0.9998
07573984-6046394 4363 75 4.6 0.18 0.05 0.09 0.41 0.16 0.24 NGC2516 0.9993
07574708-6051389 4233 78 4.78 0.18 0.06 0.09 0.43 0.15 0.24 NGC2516 0.9998
07575482-6050269 3909 78 4.8 0.18 -0.08 0.09 0.51 0.17 0.24 NGC2516 0.9999
07575805-6045446 4456 77 4.79 0.18 0.04 0.09 0.58 0.12 0.24 NGC2516 0.9999
07571065-6111160 4196 76 4.64 0.18 0.08 0.1 0.84 0.11 0.24 NGC2516 0.9999
07573365-6115183 4023 107 4.89 0.23 0.04 0.09 1.37 0.13 0.24 NGC2516 0.9975
07573634-6121293 4046 76 4.79 0.18 -0.17 0.09 0.25 0.0 0.24 NGC2516 1
07573777-6111491 4344 76 4.81 0.18 0.08 0.1 0.85 0.12 0.24 NGC2516 0.9999
07581825-6121091 3978 79 4.64 0.18 -0.02 0.09 0.5 0.17 0.24 NGC2516 0.9999
07581918-6123523 4369 73 4.88 0.18 0.03 0.1 0.6 0.15 0.24 NGC2516 0.9979
07582232-6111078 3930 77 4.77 0.18 0.03 0.09 0.57 0.14 0.24 NGC2516 0.9998
07582713-6112487 4702 66 4.49 0.18 0.08 0.05 1.58 0.11 0.24 NGC2516 0.9999
07562978-6100000 3873 75 4.88 0.18 -0.08 0.1 -0.1 0.0 0.24 NGC2516 1
07563141-6059331 3847 108 4.84 0.23 -0.05 0.09 0.31 0.24 0.24 NGC2516 1
07563905-6103466 3957 79 4.73 0.18 -0.03 0.09 0.47 0.16 0.24 NGC2516 0.9999
07564760-6104373 4682 66 4.76 0.18 0.04 0.05 0.43 0.18 0.24 NGC2516 1
07565520-6058118 4026 74 4.79 0.18 0.01 0.1 0.5 0.15 0.24 NGC2516 0.9995
07565986-6106322 3964 76 4.66 0.18 -0.09 0.09 0.37 0.17 0.24 NGC2516 0.9999
07570068-6057296 4749 65 4.62 0.18 0 0.05 1.15 0.1 0.24 NGC2516 0.9999
07570701-6102081 4020 107 4.85 0.24 -0.11 0.09 -0.5 0.0 0.24 NGC2516 0.9999
07570882-6108507 4668 63 4.67 0.17 0.01 0.06 0.8 0.12 0.24 NGC2516 0.9991
07570886-6106462 4760 64 4.53 0.17 0.01 0.05 1.45 0.09 0.24 NGC2516 0.9999
07570960-6056067 3850 106 4.82 0.24 -0.1 0.09 0.21 0.31 0.24 NGC2516 0.9999
07571035-6101134 4200 107 4.75 0.24 -0.01 0.09 1.63 0.16 0.24 NGC2516 0.9997
07571639-6107463 4289 76 4.92 0.19 0.04 0.09 0.4 0.15 0.24 NGC2516 1
07572080-6055434 3996 76 4.69 0.18 0.05 0.1 0.7 0.0 0.24 NGC2516 0.9999
07572240-6107074 4393 75 4.63 0.18 0.05 0.09 0.18 0.2 0.24 NGC2516 0.9997
07572674-6055495 4338 78 4.84 0.18 0.04 0.09 0.4 0.16 0.24 NGC2516 1
07575159-6106547 4033 107 4.85 0.24 0.02 0.09 0.79 0.15 0.24 NGC2516 0.9999
07575188-6104220 4148 77 4.82 0.18 -0.01 0.09 0.27 0.2 0.24 NGC2516 1
07580085-6103127 4287 74 4.78 0.18 0.05 0.09 -0.13 0.0 0.24 NGC2516 1
07580948-6059412 4577 64 4.82 0.18 0.09 0.05 1.22 0.09 0.24 NGC2516 0.9998
07583121-6105232 3958 75 4.73 0.18 0.02 0.1 0.59 0.14 0.24 NGC2516 1
07583205-6058268 4372 76 4.72 0.18 0.03 0.1 0.19 0.19 0.24 NGC2516 1
07583259-6059459 4166 79 4.94 0.18 0.06 0.1 0.34 0.19 0.24 NGC2516 1
07583267-6055428 3190 98 4.94 0.23 -0.4 0.09 -1 0.0 0.24 NGC2516 0.9999
07584014-6107216 4045 74 4.8 0.18 0.04 0.09 2 0.08 0.24 NGC2516 0.9999
07584489-6102357 3986 111 4.85 0.23 -0.05 0.09 0.25 0.29 0.24 NGC2516 0.9998
07585551-6055595 4009 76 4.71 0.18 0.04 0.09 0.15 0.2 0.24 NGC2516 0.9999
07585820-6056328 4177 76 4.88 0.18 0.04 0.09 0.56 0.15 0.24 NGC2516 0.9999
07590306-6106245 3859 106 4.85 0.24 -0.1 0.09 0.13 0.36 0.24 NGC2516 0.9999
07591034-6102557 4082 77 4.93 0.18 -0.03 0.09 -0.57 0.62 0.24 NGC2516 0.9999
07545020-6050407 6046 65 4.29 0.18 -0.06 0.06 3.12 0.06 0.24 NGC2516 1
07550440-6048392 4820 75 4.66 0.18 -0.08 0.09 2.26 0.11 0.24 NGC2516 0.9999
07551241-6048525 5238 65 4.55 0.18 -0.05 0.06 2.42 0.08 0.24 NGC2516 0.9999
07551498-6048191 6789 67 4.19 0.17 -0.12 0.06 2.8 0.05 0.24 NGC2516 0.9987
07552202-6050063 5710 64 4.26 0.17 -0.09 0.05 2.84 0.06 0.24 NGC2516 0.9999
07552681-6044348 4883 66 4.72 0.18 0.02 0.06 2.04 0.09 0.24 NGC2516 0.9813
07554378-6037522 6120 65 4.25 0.17 -0.12 0.05 2.96 0.06 0.24 NGC2516 0.9836
07555570-6041396 5906 65 4.39 0.18 -0.02 0.05 2.96 0.06 0.24 NGC2516 0.9992
07555838-6053052 4991 64 4.6 0.17 -0.04 0.06 2.11 0.08 0.24 NGC2516 0.9999
07562272-6051423 6727 64 4.21 0.17 0.06 0.06 3.41 0.05 0.24 NGC2516 0.9997
07580409-6038274 3342 107 4.86 0.24 -0.38 0.09 -0.13 0.21 0.24 NGC2516 1
07580458-6040298 4691 66 4.83 0.17 0.13 0.05 1.27 0.1 0.24 NGC2516 0.9999
07580745-6044334 4411 75 4.75 0.18 0.01 0.1 0.29 0.19 0.24 NGC2516 0.9998
07581251-6038058 4058 75 4.87 0.18 0 0.1 0.72 0.12 0.24 NGC2516 0.9999
07581719-6044368 3303 104 4.87 0.23 -0.3 0.09 -1 0.0 0.24 NGC2516 0.9999
07581994-6043402 4644 65 4.71 0.18 0.09 0.05 0.62 0.12 0.24 NGC2516 0.9999
07583277-6048525 3972 76 4.8 0.18 -0.02 0.1 0.64 0.13 0.24 NGC2516 0.9999
07583705-6046284 4690 65 4.63 0.17 0.04 0.05 1.82 0.09 0.24 NGC2516 0.9998
07583730-6035381 4649 64 4.75 0.18 0.06 0.05 0.62 0.11 0.24 NGC2516 0.9999
07583898-6048233 4054 76 4.69 0.18 -0.01 0.09 0.3 0.17 0.24 NGC2516 0.9999
07584149-6050549 3882 108 4.87 0.23 -0.05 0.09 0.41 0.22 0.24 NGC2516 0.9998
07584283-6039338 3963 78 4.81 0.18 -0.03 0.09 -1 0.0 0.24 NGC2516 0.9999
07584415-6045374 3832 108 4.84 0.24 -0.11 0.09 0.41 0.21 0.24 NGC2516 0.9997
07584886-6047466 3301 103 4.86 0.23 -0.27 0.09 -0.21 0.28 0.24 NGC2516 0.9999
07585309-6037057 3830 106 4.84 0.23 -0.13 0.09 -0.16 0.54 0.24 NGC2516 0.9997
07585360-6054242 4085 109 4.85 0.23 -0.06 0.09 0.78 0.12 0.24 NGC2516 0.9997
07585638-6047229 4094 78 4.89 0.18 0.06 0.09 0.77 0.1 0.24 NGC2516 0.9999
07585658-6052160 4033 106 4.88 0.23 -0.03 0.09 0.59 0.16 0.24 NGC2516 0.9883
07585760-6040586 3672 107 4.87 0.23 -0.27 0.09 0.61 0.22 0.24 NGC2516 1
07590019-6040380 4250 76 4.9 0.18 0.05 0.1 0.28 0.18 0.24 NGC2516 1
07590124-6044561 3923 76 4.87 0.18 -0.06 0.09 0.33 0.18 0.24 NGC2516 0.9994
07590471-6037086 4656 65 4.76 0.17 0.09 0.06 1.1 0.1 0.24 NGC2516 0.9999
07590677-6051533 4482 67 4.73 0.18 0.11 0.05 1.19 0.09 0.24 NGC2516 1
07590959-6050515 3993 76 4.67 0.18 0.05 0.09 0.23 0.17 0.24 NGC2516 0.9998
07591559-6041200 4140 76 4.75 0.17 0.05 0.1 0.42 0.17 0.24 NGC2516 0.9999
07591796-6045189 3833 109 4.85 0.24 -0.22 0.09 1.69 0.16 0.24 NGC2516 0.9995
07592249-6037124 3991 105 4.85 0.24 -0.05 0.09 1.19 0.11 0.24 NGC2516 0.9996
07592900-6039417 4045 79 4.73 0.17 0.05 0.1 0.99 0.12 0.24 NGC2516 0.9999
07593236-6045025 4534 65 4.74 0.17 0.04 0.05 0.69 0.1 0.24 NGC2516 0.9999
08000867-6051320 4068 74 4.71 0.18 -0.01 0.09 0.53 0.13 0.24 NGC2516 0.9999
08001303-6041460 4441 75 4.73 0.17 0.05 0.09 0.52 0.15 0.24 NGC2516 0.9997
08001647-6046151 4304 73 4.64 0.18 0.05 0.09 0.83 0.11 0.24 NGC2516 0.9999
08001818-6048173 3392 111 4.86 0.23 -0.3 0.09 -0.54 0.49 0.24 NGC2516 0.9999
08001893-6036146 4624 68 4.57 0.18 0.01 0.05 1.67 0.1 0.24 NGC2516 1
08001959-6045204 4000 77 4.65 0.18 0.08 0.09 0.45 0.0 0.24 NGC2516 0.996
08002735-6042581 4148 78 4.63 0.18 0.07 0.09 0.33 0.19 0.24 NGC2516 1
08002967-6042288 3902 77 4.9 0.18 -0.1 0.09 0.38 0.18 0.24 NGC2516 0.9999
08005131-6046322 4037 74 4.7 0.19 -0.02 0.1 0.28 0.17 0.24 NGC2516 1
07560125-6057268 6014 63 4.34 0.17 -0.09 0.05 3.09 0.06 0.24 NGC2516 0.9999
07561340-6059071 5107 66 4.57 0.18 0.01 0.06 2.03 0.08 0.24 NGC2516 1
07561895-6056535 6310 66 4.18 0.18 -0.02 0.06 3.11 0.05 0.24 NGC2516 0.9999
07562200-6056340 5619 64 4.3 0.18 -0.15 0.05 2.87 0.07 0.24 NGC2516 0.9842
07563357-6100558 4749 65 4.41 0.18 -0.1 0.05 1.81 0.09 0.24 NGC2516 0.9986
07570160-6103085 5892 67 4.28 0.18 0.02 0.05 2.9 0.06 0.24 NGC2516 0.9999
07570240-6102049 6695 64 4.26 0.18 -0.04 0.05 2.67 0.06 0.24 NGC2516 0.9999
07572011-6107141 6025 66 4.36 0.18 0.04 0.06 2.78 0.06 0.24 NGC2516 1
07573915-6102095 6103 64 4.28 0.18 0.01 0.05 2.76 0.05 0.24 NGC2516 1
07574552-6100231 5023 65 4.6 0.18 0.03 0.05 2.11 0.08 0.24 NGC2516 0.9999
07575611-6054591 5115 63 4.51 0.17 0.01 0.06 2.6 0.08 0.24 NGC2516 1
07575767-6053390 5069 78 4.63 0.18 -0.02 0.1 2.9 0.11 0.24 NGC2516 0.9995
07575863-6103390 4875 65 4.52 0.17 0.04 0.05 1.95 0.09 0.24 NGC2516 0.9999
07575932-6056535 6027 65 4.36 0.17 -0.02 0.05 2.92 0.05 0.24 NGC2516 0.9979
07580219-6111283 4820 64 4.64 0.18 0.02 0.05 0.78 0.12 0.24 NGC2516 0.9999
07581274-6101519 5238 67 4.63 0.17 -0.06 0.06 2.22 0.08 0.24 NGC2516 0.9999
07582084-6111460 5864 63 4.24 0.17 -0.06 0.05 3.08 0.06 0.24 NGC2516 0.9961
07582161-6058503 4599 64 4.65 0.17 0.03 0.06 1.46 0.09 0.24 NGC2516 0.9986
07582377-6103445 5911 66 4.3 0.18 -0.05 0.06 2.98 0.06 0.24 NGC2516 0.9994
07583693-6104343 5745 63 4.46 0.18 -0.09 0.05 2.83 0.06 0.24 NGC2516 0.9999
07551178-6026259 4740 75 4.28 0.18 -0.05 0.09 2.57 0.12 0.24 NGC2516 0.9947
07560100-6037242 5125 65 4.56 0.17 0.01 0.05 1.9 0.08 0.24 NGC2516 0.9999
07560226-6038459 5534 64 4.46 0.17 0.06 0.05 2.77 0.07 0.24 NGC2516 0.9999
07563195-6028054 6335 67 4.17 0.17 -0.07 0.05 3.08 0.05 0.24 NGC2516 0.9999
08012289-6053056 4220 75 4.8 0.18 0.05 0.09 0.6 0.13 0.24 NGC2516 0.9999
08012327-6046145 4208 108 4.87 0.23 0.02 0.09 1.11 0.12 0.24 NGC2516 0.9995
08012759-6041408 4287 74 4.85 0.18 0.05 0.1 0.32 0.16 0.24 NGC2516 0.9999
08013392-6051381 4472 76 4.71 0.17 0.04 0.09 0.83 0.11 0.24 NGC2516 1
08013470-6043525 3834 108 4.85 0.23 -0.33 0.09 0.35 0.24 0.24 NGC2516 0.9996
08013638-6045277 4080 106 4.86 0.23 0.02 0.09 1.38 0.11 0.24 NGC2516 0.9948
08014018-6047068 4599 65 4.71 0.17 0.04 0.05 0.71 0.1 0.24 NGC2516 0.9996
08015580-6042558 4021 75 4.66 0.19 0 0.09 0.87 0.12 0.24 NGC2516 1
08015838-6042508 4120 75 4.74 0.18 -0.01 0.09 1.22 0.09 0.24 NGC2516 0.9963
08020996-6042421 4000 74 4.81 0.17 -0.03 0.09 0.72 0.12 0.24 NGC2516 0.9999
08021221-6055262 4220 76 4.76 0.18 0.04 0.09 -0.16 0.38 0.24 NGC2516 0.9985
08021875-6045186 3940 77 4.83 0.18 -0.04 0.1 0.29 0.19 0.24 NGC2516 0.9999
08023471-6046046 3186 96 4.93 0.24 -0.38 0.09 -1 0.0 0.24 NGC2516 0.9992
08023533-6040197 4008 78 4.82 0.19 -0.04 0.09 0.22 0.22 0.24 NGC2516 0.9999
08024838-6047096 3622 104 4.84 0.24 -0.27 0.09 1.15 0.23 0.24 NGC2516 0.9998
08024877-6052010 3441 111 4.84 0.24 -0.27 0.09 -1 0.0 0.24 NGC2516 0.9999
08025517-6039245 4088 76 4.73 0.18 0.04 0.09 0.63 0.14 0.24 NGC2516 0.9999
08031783-6049582 4041 78 4.8 0.18 0.01 0.09 0.58 0.14 0.24 NGC2516 1
07560814-6037597 5152 64 4.62 0.18 -0.12 0.06 2.48 0.09 0.24 NGC2516 0.9988
07563407-6039060 5885 64 4.43 0.18 -0.07 0.05 2.97 0.06 0.24 NGC2516 0.9999
07565000-6039458 5164 66 4.24 0.18 0.01 0.05 2.23 0.09 0.24 NGC2516 0.9999
07565600-6019424 5132 65 4.21 0.17 0.05 0.06 2.35 0.08 0.24 NGC2516 0.9998
07565746-6017559 6198 65 4.34 0.18 0.01 0.05 3.15 0.06 0.24 NGC2516 0.9996
07571215-6033090 4981 74 4.43 0.19 -0.07 0.1 2.69 0.11 0.24 NGC2516 0.9999
07573430-6023282 4502 76 4.62 0.18 0 0.09 1.74 0.1 0.24 NGC2516 0.9987
07580117-6031234 5030 64 4.56 0.18 0.07 0.06 2.48 0.08 0.24 NGC2516 0.9999
07580470-6035037 5897 66 4.35 0.17 -0.07 0.06 3.06 0.06 0.24 NGC2516 0.9999
07581100-6025028 6356 65 4.19 0.17 -0.12 0.05 2.82 0.06 0.24 NGC2516 1
07593261-6104529 4036 76 4.08 0.18 0.02 0.1 1.29 0.0 0.24 NGC2516 0.9998
07595144-6108016 3439 109 4.86 0.24 -0.27 0.09 -1 0.0 0.24 NGC2516 0.9994
07595247-6102008 4116 75 4.88 0.18 -0.05 0.1 0.02 0.29 0.24 NGC2516 1
07595574-6115296 3318 106 4.9 0.23 -0.27 0.09 1.05 0.18 0.24 NGC2516 0.9997
07595583-6102499 4003 76 4.78 0.18 -0.05 0.09 0.47 0.15 0.24 NGC2516 1
08001140-6101333 4357 78 4.77 0.18 0.06 0.1 -0.27 0.51 0.24 NGC2516 0.9999
08002198-6103443 4621 63 4.88 0.17 0.12 0.05 1.21 0.09 0.24 NGC2516 0.9999
08002579-6054212 3944 74 4.82 0.18 0.04 0.09 0.79 0.13 0.24 NGC2516 1
08003236-6113141 3982 75 4.71 0.19 -0.03 0.1 0.2 0.2 0.24 NGC2516 0.9994
08003560-6101214 4548 76 4.5 0.18 0.01 0.1 2.17 0.11 0.24 NGC2516 0.9992
08004306-6106116 4621 79 4.64 0.18 -0.05 0.09 1.63 0.11 0.24 NGC2516 1
08012365-6104597 4396 77 4.71 0.19 0.03 0.09 0.35 0.16 0.24 NGC2516 0.9998
08013257-6101156 3620 107 4.85 0.23 -0.22 0.09 0.05 0.36 0.24 NGC2516 0.9999
08013837-6101289 4035 73 4.72 0.18 0.03 0.09 -0.2 0.34 0.24 NGC2516 0.9999
08014281-6112552 3623 107 4.85 0.24 -0.22 0.09 0.37 0.24 0.24 NGC2516 0.9979
08013658-6059021 5765 33 4.41 0.05 -0.05 0.05 2.8 0.03 0.24 NGC2516 0.9999
07581683-6054526 5398 64 4.37 0.17 -0.03 0.05 2.54 0.07 0.24 NGC2516 0.9998
07584326-6055257 5142 66 4.49 0.17 -0.2 0.06 2.76 0.09 0.24 NGC2516 0.9993
07584416-6056011 5123 65 4.48 0.18 -0.01 0.05 2.16 0.08 0.24 NGC2516 1
07584646-6105588 6725 66 4.29 0.17 -0.03 0.05 3.02 0.05 0.24 NGC2516 0.9996
07584804-6054144 5111 74 4.38 0.18 -0.09 0.09 2.76 0.1 0.24 NGC2516 0.9998
07584833-6106149 6296 66 4.14 0.17 -0.06 0.06 3.08 0.05 0.24 NGC2516 0.9999
07584866-6055248 6718 65 4.17 0.17 -0.17 0.05 2.94 0.05 0.24 NGC2516 0.9997
07585063-6106507 5732 64 4.39 0.18 -0.12 0.05 2.93 0.06 0.24 NGC2516 0.9935
07593231-6058460 4649 77 4.47 0.18 -0.01 0.09 2.02 0.11 0.24 NGC2516 1
07594747-6054153 5530 66 4.38 0.18 -0.1 0.05 2.73 0.07 0.24 NGC2516 0.9999
07594824-6105200 5714 66 4.5 0.17 -0.01 0.05 2.81 0.07 0.24 NGC2516 1
08000049-6052559 4704 66 4.65 0.18 0.01 0.05 1.51 0.1 0.24 NGC2516 1
08002884-6100483 5957 63 4.33 0.17 -0.05 0.05 3.07 0.06 0.24 NGC2516 1
08002907-6055428 4732 65 4.75 0.17 0.1 0.06 1.33 0.1 0.24 NGC2516 0.9999
07570938-6048027 6295 65 4.15 0.18 -0.04 0.05 3.11 0.05 0.24 NGC2516 0.9998
07570998-6044103 5763 66 4.36 0.18 -0.13 0.06 2.98 0.06 0.24 NGC2516 0.9998
07571084-6050501 6089 65 4.28 0.17 -0.04 0.05 3.18 0.06 0.24 NGC2516 1
07571111-6048156 5084 64 4.54 0.17 0 0.06 2.29 0.08 0.24 NGC2516 0.9999
07571474-6041418 5047 64 4.61 0.17 0.1 0.06 2.11 0.08 0.24 NGC2516 0.9999
07571627-6047136 6694 66 4.22 0.17 -0.04 0.05 2.95 0.05 0.24 NGC2516 0.9998
07572083-6044035 4668 75 4.56 0.18 -0.01 0.1 2.09 0.11 0.24 NGC2516 0.9857
07572522-6046473 5996 65 4.38 0.17 -0.03 0.05 3.02 0.06 0.24 NGC2516 1
07572844-6051295 5774 65 4.48 0.18 -0.02 0.05 3.02 0.06 0.24 NGC2516 0.998
07572938-6050104 5612 65 4.41 0.18 -0.1 0.05 2.2 0.07 0.24 NGC2516 0.9956
07573153-6042108 5222 64 4.22 0.17 0.07 0.05 2.63 0.08 0.24 NGC2516 0.9999
07574272-6044207 6102 67 4.26 0.18 -0.01 0.06 3.04 0.05 0.24 NGC2516 0.9997
07575542-6048272 5866 67 4.35 0.17 -0.06 0.05 2.93 0.06 0.24 NGC2516 0.9995
07580044-6041196 4647 64 4.69 0.17 -0.04 0.05 1.09 0.1 0.24 NGC2516 0.9956
07580515-6046119 5022 64 4.43 0.17 -0.09 0.05 1.66 0.08 0.24 NGC2516 0.9989
07580525-6047403 6696 65 4.22 0.17 0 0.05 2.95 0.05 0.24 NGC2516 0.9998
07580532-6045034 6112 67 4.31 0.18 -0.03 0.06 3.16 0.06 0.24 NGC2516 0.9999
07580887-6044403 6306 64 4.26 0.18 -0.08 0.05 2.96 0.05 0.24 NGC2516 0.9998
07581123-6049599 5370 63 4.51 0.17 -0.16 0.05 2.76 0.07 0.24 NGC2516 0.9904
07581287-6038365 6674 65 4.17 0.18 0 0.05 3.08 0.05 0.24 NGC2516 0.9999
07581986-6041581 6217 64 4.15 0.17 -0.05 0.06 2.89 0.06 0.24 NGC2516 0.9888
07582031-6041397 6072 64 4.22 0.18 -0.03 0.05 3.21 0.05 0.24 NGC2516 0.9998
07582294-6040204 4765 77 4.7 0.18 -0.09 0.09 2.48 0.12 0.24 NGC2516 0.9999
07582350-6046497 4944 64 4.62 0.17 0.04 0.05 2.02 0.09 0.24 NGC2516 0.9999
07582363-6037220 6256 64 4.26 0.17 0 0.06 2.87 0.05 0.24 NGC2516 0.9997
07583073-6046010 4944 64 4.55 0.18 0 0.05 2.09 0.08 0.24 NGC2516 1
07583572-6046525 5712 63 4.4 0.18 -0.1 0.05 3 0.06 0.24 NGC2516 0.9999
07583905-6045217 5226 65 4.48 0.17 -0.04 0.06 2.32 0.08 0.24 NGC2516 0.9999
